date,Open,High,Low,Close
1/1/2021,"50,200","50,380","50,070","50,244"
1/4/2021,"50,550","51,515","50,550","51,424"
1/5/2021,"51,424","51,800","51,041","51,710"
1/6/2021,"51,770","52,520","51,465","52,506"
1/7/2021,"51,148","51,343","50,750","50,910"
1/8/2021,"50,900","51,050","49,634","49,740"
1/11/2021,"49,200","49,494","48,850","49,343"
1/12/2021,"49,380","49,425","48,930","49,203"
1/13/2021,"49,300","49,450","49,060","49,292"
1/14/2021,"49,250","49,444","49,112","49,219"
1/15/2021,"49,250","49,330","48,655","48,703"
1/18/2021,"48,703","49,149","48,582","48,894"
1/19/2021,"48,950","49,045","48,750","48,894"
1/20/2021,"48,850","49,150","48,841","49,078"
1/21/2021,"49,374","49,644","49,060","49,286"
1/22/2021,"49,230","49,330","48,914","49,112"
1/25/2021,"49,101","49,270","48,916","49,136"
1/27/2021,"49,100","49,200","48,801","48,879"
1/28/2021,"48,600","49,240","48,600","49,049"
1/29/2021,"49,141","49,600","49,040","49,337"
2/1/2021,"49,290","49,387","47,811","48,722"
2/2/2021,"48,701","48,744","48,154","48,220"
2/3/2021,"48,100","48,160","47,671","47,750"
2/4/2021,"47,600","47,600","46,626","46,730"
2/5/2021,"46,740","47,381","46,654","47,256"
2/8/2021,"47,150","47,360","46,860","46,923"
2/9/2021,"47,025","48,000","47,025","47,949"
2/10/2021,"47,975","48,150","47,851","48,007"
2/11/2021,"48,040","48,044","47,440","47,508"
2/12/2021,"47,440","47,673","47,160","47,318"
2/15/2021,"47,380","47,515","47,164","47,241"
2/16/2021,"47,241","47,314","46,846","46,901"
2/17/2021,"46,650","46,720","46,031","46,231"
2/18/2021,"46,200","46,450","45,861","46,145"
2/19/2021,"46,051","46,419","45,951","46,197"
2/22/2021,"46,313","47,060","46,313","46,901"
2/23/2021,"46,851","47,094","46,561","46,793"
2/24/2021,"46,750","46,944","46,634","46,736"
2/25/2021,"46,870","47,149","46,211","46,241"
2/26/2021,"46,180","46,340","45,662","45,736"
3/1/2021,"45,950","46,244","45,280","45,308"
3/2/2021,"45,399","45,550","44,760","44,813"
3/3/2021,"44,920","45,148","44,480","44,944"
3/4/2021,"44,760","44,890","44,217","44,541"
3/5/2021,"44,300","44,790","44,150","44,683"
3/8/2021,"44,640","44,749","44,211","44,218"
3/9/2021,"44,301","44,950","44,251","44,856"
3/10/2021,"44,990","45,115","44,680","44,792"
3/12/2021,"44,750","45,040","44,600","44,750"
3/15/2021,"44,800","45,110","44,730","44,904"
3/16/2021,"44,884","45,022","44,701","44,813"
3/17/2021,"44,880","45,250","44,705","45,139"
3/18/2021,"45,300","45,475","44,801","44,951"
3/19/2021,"44,950","45,215","44,821","45,021"
3/22/2021,"44,970","45,120","44,840","44,905"
3/23/2021,"44,910","45,038","44,575","44,646"
3/24/2021,"44,700","44,946","44,650","44,858"
3/25/2021,"44,760","44,963","44,321","44,695"
3/26/2021,"44,849","44,950","44,611","44,681"
3/30/2021,"44,683","44,740","43,791","43,857"
3/31/2021,"43,990","44,180","43,320","44,115"
4/1/2021,"44,950","45,511","44,910","45,418"
4/5/2021,"45,480","45,549","45,215","45,349"
4/6/2021,"45,470","46,013","45,420","45,919"
4/7/2021,"45,845","46,380","45,845","46,362"
4/8/2021,"46,450","46,900","46,440","46,838"
4/9/2021,"46,860","46,960","46,511","46,593"
4/12/2021,"46,550","46,748","46,155","46,419"
4/13/2021,"46,388","47,030","46,301","46,975"
4/15/2021,"46,825","47,210","46,765","47,175"
4/16/2021,"47,160","47,438","47,061","47,353"
4/19/2021,"47,513","47,850","47,243","47,393"
4/20/2021,"47,485","47,698","46,815","47,872"
4/22/2021,"48,154","48,421","47,750","47,772"
4/23/2021,"47,880","47,940","47,405","47,532"
4/26/2021,"47,450","47,650","47,180","47,462"
4/27/2021,"47,420","47,549","47,252","47,313"
4/28/2021,"47,350","47,510","46,962","47,094"
4/29/2021,"47,270","47,290","46,650","46,725"
4/30/2021,"46,845","46,934","46,654","46,737"
5/3/2021,"46,750","47,414","46,750","47,323"
5/4/2021,"47,344","47,430","46,801","47,314"
5/5/2021,"47,381","47,422","46,911","46,962"
5/6/2021,"47,150","47,321","46,934","47,064"
5/7/2021,"47,211","47,935","47,192","47,751"
5/10/2021,"47,910","48,034","47,781","47,951"
5/11/2021,"47,910","47,963","47,560","47,633"
5/12/2021,"47,672","47,740","47,420","47,624"
5/13/2021,"47,560","47,698","47,374","47,491"
5/14/2021,"47,430","47,750","47,351","47,676"
5/17/2021,"47,816","48,466","47,816","48,374"
5/18/2021,"48,400","48,515","48,272","48,307"
5/19/2021,"48,340","48,540","48,016","48,270"
5/20/2021,"48,440","48,620","48,225","48,544"
5/21/2021,"48,600","48,705","48,312","48,404"
5/24/2021,"48,421","48,642","48,340","48,553"
5/25/2021,"48,460","48,883","48,401","48,811"
5/26/2021,"48,935","49,120","48,780","48,891"
5/27/2021,"48,800","48,824","48,350","48,581"
5/28/2021,"48,650","48,820","48,451","48,553"
5/31/2021,"48,552","49,434","48,552","49,349"
6/1/2021,"49,410","49,750","49,245","49,431"
6/2/2021,"49,380","49,484","48,944","49,067"
6/3/2021,"49,150","49,180","48,582","48,683"
6/4/2021,"48,780","49,154","48,642","48,995"
6/7/2021,"49,134","49,250","48,870","49,127"
6/8/2021,"49,120","49,242","48,935","49,112"
6/9/2021,"49,080","49,290","48,980","49,122"
6/10/2021,"49,050","49,268","48,924","49,198"
6/11/2021,"49,250","49,348","48,850","48,903"
6/14/2021,"48,910","48,960","48,421","48,523"
6/15/2021,"48,523","48,645","48,272","48,435"
6/16/2021,"48,475","48,620","48,014","48,506"
6/17/2021,"47,400","47,400","46,670","46,950"
6/18/2021,"46,980","47,249","46,654","46,728"
6/21/2021,"46,801","47,150","46,600","47,074"
6/22/2021,"47,074","47,210","46,825","47,024"
6/23/2021,"47,050","47,314","46,920","47,100"
6/24/2021,"47,110","47,235","46,815","46,878"
6/25/2021,"46,950","47,208","46,861","46,925"
6/28/2021,"47,000","47,080","46,821","46,966"
6/29/2021,"46,966","46,985","46,380","46,436"
6/30/2021,"46,450","46,750","46,325","46,510"
7/1/2021,"46,750","46,944","46,650","46,838"
7/2/2021,"46,900","47,358","46,881","47,299"
7/5/2021,"47,381","47,430","47,208","47,299"
7/6/2021,"47,450","47,848","47,341","47,738"
7/7/2021,"47,848","48,014","47,682","47,910"
7/8/2021,"47,811","48,034","47,673","47,721"
7/9/2021,"47,720","47,949","47,685","47,923"
7/12/2021,"47,930","47,963","47,688","47,773"
7/13/2021,"47,820","48,071","47,705","47,889"
7/14/2021,"47,911","48,340","47,911","48,299"
7/15/2021,"48,370","48,501","48,160","48,400"
7/16/2021,"48,367","48,414","48,154","48,245"
7/19/2021,"48,110","48,255","47,975","48,078"
7/20/2021,"48,078","48,187","47,912","48,162"
7/21/2021,"48,100","48,125","47,562","47,575"
7/22/2021,"47,624","47,735","47,532","47,634"
7/23/2021,"47,600","47,654","47,380","47,534"
7/26/2021,"47,534","47,610","47,402","47,461"
7/27/2021,"47,473","47,590","47,390","47,575"
7/28/2021,"47,542","47,700","47,466","47,578"
7/29/2021,"48,000","48,446","47,931","48,397"
7/30/2021,"48,300","48,339","47,825","47,938"
8/2/2021,"48,000","48,150","47,815","47,908"
8/3/2021,"47,890","48,110","47,751","48,061"
8/4/2021,"47,900","48,085","47,781","47,908"
8/5/2021,"47,940","48,010","47,560","47,603"
8/6/2021,"47,590","47,650","46,604","46,640"
8/9/2021,"46,050","46,200","45,583","45,886"
8/10/2021,"45,910","46,120","45,765","45,962"
8/11/2021,"45,950","46,448","45,861","46,388"
8/12/2021,"46,400","46,488","46,260","46,359"
8/13/2021,"46,450","47,030","46,364","46,940"
8/16/2021,"46,950","47,410","46,881","47,225"
